Juegos{game='TRI', platform='PC', developer='Rat King Entertainment', genre='General', numberPlayers='', rating='', releaseDate='Jul  8, 2012', positiveCritics=6, neutralCritics=3, negativeCritics=0, positiveUsers=5, neutralUsers=2, negativeUsers=0, metascore=74.0, userScore=75.0}
Juegos{game='Underrail', platform='PC', developer='Stygian Software', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Dec  5, 2012', positiveCritics=5, neutralCritics=6, negativeCritics=0, positiveUsers=19, neutralUsers=3, negativeUsers=2, metascore=72.0, userScore=76.0}
Juegos{game='Primordia', platform='PC', developer='Wormwood Studios', genre='General', numberPlayers='', rating='', releaseDate='Dec  5, 2012', positiveCritics=14, neutralCritics=15, negativeCritics=0, positiveUsers=45, neutralUsers=2, negativeUsers=1, metascore=72.0, userScore=88.0}
Juegos{game='Risen 2: Dark Waters', platform='PC', developer='Piranha Bytes', genre='General', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Apr 24, 2012', positiveCritics=17, neutralCritics=33, negativeCritics=1, positiveUsers=80, neutralUsers=29, negativeUsers=42, metascore=69.0, userScore=57.0}
Juegos{game='Liberation Maiden', platform='3DS', developer='Grasshopper Manufacture', genre='General', numberPlayers='1 Player', rating='T', releaseDate='Oct 25, 2012', positiveCritics=11, neutralCritics=15, negativeCritics=1, positiveUsers=6, neutralUsers=1, negativeUsers=0, metascore=69.0, userScore=78.0}
Juegos{game='Hatoful Boyfriend', platform='PC', developer='Hato Moa', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Feb 15, 2012', positiveCritics=13, neutralCritics=18, negativeCritics=4, positiveUsers=11, neutralUsers=3, negativeUsers=1, metascore=68.0, userScore=73.0}
Juegos{game='The Amazing Spider-Man', platform='3DS', developer='Beenox', genre='General', numberPlayers='', rating='T', releaseDate='Jun 26, 2012', positiveCritics=0, neutralCritics=8, negativeCritics=2, positiveUsers=1, neutralUsers=6, negativeUsers=2, metascore=55.0, userScore=53.0}
Juegos{game='flower', platform='PS4', developer='Bluepoint Games', genre='General', numberPlayers='1 Player', rating='E', releaseDate='Nov 15, 2013', positiveCritics=11, neutralCritics=0, negativeCritics=0, positiveUsers=48, neutralUsers=16, negativeUsers=26, metascore=91.0, userScore=72.0}
Juegos{game='Dota 2', platform='PC', developer='Valve Software', genre='General', numberPlayers='Up to 10 ', rating='', releaseDate='Jul  9, 2013', positiveCritics=32, neutralCritics=1, negativeCritics=0, positiveUsers=1784, neutralUsers=118, negativeUsers=1674, metascore=90.0, userScore=65.0}
Juegos{game='Tearaway', platform='VITA', developer='Media Molecule', genre='General', numberPlayers='', rating='E', releaseDate='Nov 22, 2013', positiveCritics=76, neutralCritics=6, negativeCritics=0, positiveUsers=69, neutralUsers=4, negativeUsers=0, metascore=87.0, userScore=89.0}
Juegos{game='Edge', platform='WIIU', developer='Two Tribes', genre='General', numberPlayers='', rating='E', releaseDate='Nov 21, 2013', positiveCritics=6, neutralCritics=3, negativeCritics=0, positiveUsers=6, neutralUsers=3, negativeUsers=1, metascore=79.0, userScore=75.0}
Juegos{game='The Walking Dead: Season Two Episode 1 - All That Remains', platform='PC', developer='Telltale Games', genre='General', numberPlayers='', rating='M', releaseDate='Dec 17, 2013', positiveCritics=42, neutralCritics=13, negativeCritics=0, positiveUsers=73, neutralUsers=16, negativeUsers=4, metascore=78.0, userScore=85.0}
Juegos{game='Samurai Gunn', platform='PC', developer='Beau Blyth', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Dec 10, 2013', positiveCritics=9, neutralCritics=2, negativeCritics=0, positiveUsers=6, neutralUsers=1, negativeUsers=1, metascore=78.0, userScore=75.0}
Juegos{game='Dead Rising 3', platform='XONE', developer='Capcom Vancouver', genre='General', numberPlayers='2', rating='M', releaseDate='Nov 22, 2013', positiveCritics=50, neutralCritics=18, negativeCritics=1, positiveUsers=134, neutralUsers=53, negativeUsers=12, metascore=78.0, userScore=69.0}
Juegos{game='Risk of Rain', platform='PC', developer='Chucklefish, Hopoo Games', genre='General', numberPlayers='', rating='', releaseDate='Nov  8, 2013', positiveCritics=7, neutralCritics=5, negativeCritics=0, positiveUsers=57, neutralUsers=6, negativeUsers=7, metascore=77.0, userScore=81.0}
Juegos{game='Mercenary Kings', platform='PC', developer='Tribute Games, Tribute Games Inc.', genre='General', numberPlayers='', rating='T', releaseDate='Jul 22, 2013', positiveCritics=10, neutralCritics=3, negativeCritics=0, positiveUsers=4, neutralUsers=7, negativeUsers=8, metascore=76.0, userScore=65.0}
